"file_key","kind","name","lineno","indent","is_method","raw_line"
"alarm_json_model.py","class","AlarmStateJson","74","0","False","class AlarmStateJson:"
"alarm_json_model.py","def","snoozed_until","93","4","True","    def snoozed_until(self) -> str | None:"
"alarm_json_model.py","def","snoozed_until","98","4","True","    def snoozed_until(self, v: str | datetime | None) -> None:"
"alarm_json_model.py","def","snooze_count","107","4","True","    def snooze_count(self) -> int:"
"alarm_json_model.py","def","snooze_count","112","4","True","    def snooze_count(self, v: int | str | None) -> None:"
"alarm_json_model.py","def","triggered","121","4","True","    def triggered(self) -> bool:"
"alarm_json_model.py","def","triggered","126","4","True","    def triggered(self, v: bool) -> None:"
"alarm_json_model.py","def","triggered_at","130","4","True","    def triggered_at(self) -> str | None:"
"alarm_json_model.py","def","triggered_at","138","4","True","    def triggered_at(self, v: str | datetime | None) -> None:"
"alarm_json_model.py","def","last_fired_at","147","4","True","    def last_fired_at(self) -> str | None:"
"alarm_json_model.py","def","last_fired_at","155","4","True","    def last_fired_at(self, v: str | datetime | None) -> None:"
"alarm_json_model.py","def","next_fire_datetime","164","4","True","    def next_fire_datetime(self) -> str | None:"
"alarm_json_model.py","def","next_fire_datetime","169","4","True","    def next_fire_datetime(self, v: str | None) -> None:"
"alarm_json_model.py","def","lifecycle_finished","173","4","True","    def lifecycle_finished(self) -> bool:"
"alarm_json_model.py","def","lifecycle_finished","178","4","True","    def lifecycle_finished(self, v: bool) -> None:"
"alarm_json_model.py","def","needs_recalc","182","4","True","    def needs_recalc(self) -> bool:"
"alarm_json_model.py","def","needs_recalc","187","4","True","    def needs_recalc(self, value: bool) -> None:"
"alarm_manager.py","class","NextAlarmInfo","37","0","False","class NextAlarmInfo(TypedDict):"
"alarm_manager.py","class","AlarmManager","48","0","False","class AlarmManager:"
"alarm_manager.py","def","get_base_dir","54","4","True","    def get_base_dir() -> Path:"
"alarm_manager.py","def","__init__","63","4","True","    def __init__(self) -> None:"
